time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1673	1.35931	5.19851	0.229068	0.179059	radar	4.74081	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3937	1.43575	5.1682	0.24653	0.187877	lidar	1.1369	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6265	1.51677	5.07891	0.265766	0.199096	radar	4.17213	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8533	1.54744	5.0464	0.261732	0.185458	lidar	1.31341	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1184	1.59929	5.08632	0.263194	0.17732	radar	1.89367	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3979	1.64557	5.12411	0.261201	0.166455	lidar	1.9506	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6294	1.70237	5.07539	0.267231	0.16476	radar	0.929386	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8601	1.76545	5.05652	0.274643	0.16406	lidar	0.364469	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1157	1.85295	5.1119	0.287951	0.168332	radar	1.35711	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3582	1.88579	5.09495	0.281051	0.153556	lidar	0.709503	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6133	1.94873	5.1393	0.283732	0.148011	radar	0.947778	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8158	2.07277	5.10277	0.314195	0.17055	lidar	3.35017	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0823	2.1768	5.19288	0.328142	0.174471	radar	3.45365	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
